item_name,saurce,ingredients,ingredients
Barbacoa Bowl, Roasted Chili Corn Salsa,"  Pinto Beans, Sour Cream, Cheese, Lettuce, Guacamole  ",1
Barbacoa Bowl, Roasted Chili Corn Salsa,"  Rice, Cheese, Lettuce  ",1
Barbacoa Bowl, Roasted Chili Corn Salsa ,Origin,2
Barbacoa Bowl, Tomatillo Green Chili Salsa,"  Fajita Vegetables, Pinto Beans, Sour Cream, Guacamole, Lettuce  ",1
Barbacoa Bowl, Tomatillo Green Chili Salsa,"  Fajita Vegetables, Rice, Black Beans, Pinto Beans, Guacamole  ",1
Barbacoa Bowl, Tomatillo Green Chili Salsa,"  Rice, Cheese, Guacamole, Lettuce  ",1
Barbacoa Bowl, Tomatillo Green Chili Salsa  Medium ,"  Black Beans, Rice, Cheese, Guacamole  ",2
Barbacoa Bowl, Tomatillo Red Chili Salsa,"  Rice, Cheese, Lettuce  ",5
Barbacoa Bowl, Tomatillo Red Chili Salsa,"  Fajita Vegetables, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",2
Barbacoa Bowl, Tomatillo Red Chili Salsa,"  Black Beans, Cheese, Sour Cream, Guacamole  ",1
Barbacoa Bowl, Tomatillo Red Chili Salsa,"  Cheese, Sour Cream, Guacamole, Lettuce  ",1
Barbacoa Bowl, Tomatillo Red Chili Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Barbacoa Bowl, Tomatillo Red Chili Salsa,"  Rice, Black Beans, Cheese  ",1
Barbacoa Bowl, Tomatillo Red Chili Salsa,"  Rice, Black Beans, Cheese, Lettuce  ",1
Barbacoa Bowl, Tomatillo Red Chili Salsa,"  Rice, Black Beans, Sour Cream, Cheese, Lettuce  ",1
Barbacoa Bowl, Tomatillo Red Chili Salsa,"  Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese  ",1
Barbacoa Bowl, Tomatillo Red Chili Salsa,"  Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole  ",1
Barbacoa Bowl, Tomatillo Red Chili Salsa,"  Rice, Pinto Beans, Cheese, Lettuce  ",1
Barbacoa Bowl, Tomatillo Red Chili Salsa ,Origin,2
Barbacoa Bowl, Tomatillo Red Chili Salsa  Hot ,"  Black Beans, Rice, Cheese, Sour Cream, Lettuce  ",2
Barbacoa Burrito,  Black Beans," Rice, Cheese  ",1
Barbacoa Burrito,  Fresh Tomato Salsa  Mild ," Tomatillo Green Chili Salsa  Medium , Tomatillo Red Chili Salsa  Hot  ,  Rice, Cheese, Sour Cream, Lettuce  ",1
Barbacoa Burrito,  Fresh Tomato Salsa  Mild ," Tomatillo Red Chili Salsa  Hot  ,  Black Beans, Rice, Cheese, Sour Cream  ",1
Barbacoa Burrito,  Roasted Chili Corn Salsa  Medium ," Tomatillo Red Chili Salsa  Hot  ,  Black Beans, Rice, Cheese, Sour Cream  ",1
Barbacoa Burrito,  Tomatillo Green Chili Salsa  Medium ," Tomatillo Red Chili Salsa  Hot  ,  Rice, Cheese, Sour Cream, Lettuce  ",1
Barbacoa Burrito,  Tomatillo Red Chili Salsa  Hot ," Fresh Tomato Salsa  Mild , Tomatillo Green Chili Salsa  Medium  ,  Rice, Pinto Beans, Cheese  ",1
Barbacoa Burrito, Fresh Tomato  Mild ,"  Black Beans, Rice, Sour Cream, Cheese  ",1
Barbacoa Burrito, Fresh Tomato  Mild ,"  Guacamole, Rice, Black Beans  ",1
Barbacoa Burrito, Fresh Tomato Salsa,"  Rice, Pinto Beans, Cheese, Lettuce  ",2
Barbacoa Burrito, Fresh Tomato Salsa,"  Rice, Pinto Beans, Cheese, Sour Cream, Lettuce  ",2
Barbacoa Burrito, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce  ",1
Barbacoa Burrito, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Lettuce  ",1
Barbacoa Burrito, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Sour Cream, Guacamole, Lettuce  ",1
Barbacoa Burrito, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Cheese, Lettuce  ",1
Barbacoa Burrito, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Cheese, Sour Cream  ",1
Barbacoa Burrito, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Barbacoa Burrito, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Lettuce  ",1
Barbacoa Burrito, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Sour Cream  ",1
Barbacoa Burrito, Fresh Tomato Salsa,"  Rice, Cheese  ",1
Barbacoa Burrito, Fresh Tomato Salsa,"  Rice, Pinto Beans, Cheese  ",1
Barbacoa Burrito, Fresh Tomato Salsa,"  Rice, Pinto Beans, Guacamole, Lettuce  ",1
Barbacoa Burrito, Fresh Tomato Salsa  Mild ,"  Black Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Barbacoa Burrito, Roasted Chili Corn Salsa,"  Fajita Vegetables, Rice, Black Beans, Sour Cream, Guacamole  ",2
Barbacoa Burrito, Roasted Chili Corn Salsa,"  Black Beans, Cheese, Sour Cream  ",1
Barbacoa Burrito, Roasted Chili Corn Salsa,"  Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Barbacoa Burrito, Roasted Chili Corn Salsa,"  Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce  ",1
Barbacoa Burrito, Roasted Chili Corn Salsa,"  Fajita Vegetables, Rice, Pinto Beans, Cheese, Sour Cream, Lettuce  ",1
Barbacoa Burrito, Roasted Chili Corn Salsa,"  Fajita Vegetables, Rice, Sour Cream, Guacamole  ",1
Barbacoa Burrito, Roasted Chili Corn Salsa,"  Fajita Vegetables, Sour Cream, Cheese, Lettuce, Guacamole  ",1
Barbacoa Burrito, Roasted Chili Corn Salsa,"  Rice, Black Beans, Cheese, Guacamole, Lettuce  ",1
Barbacoa Burrito, Roasted Chili Corn Salsa,"  Rice, Black Beans, Cheese, Lettuce, Guacamole  ",1
Barbacoa Burrito, Roasted Chili Corn Salsa,"  Rice, Black Beans, Cheese, Sour Cream  ",1
Barbacoa Burrito, Roasted Chili Corn Salsa,"  Rice, Black Beans, Cheese, Sour Cream, Lettuce  ",1
Barbacoa Burrito, Roasted Chili Corn Salsa,"  Rice, Black Beans, Sour Cream, Cheese  ",1
Barbacoa Burrito, Roasted Chili Corn Salsa,"  Rice, Cheese, Sour Cream, Lettuce  ",1
Barbacoa Burrito, Roasted Chili Corn Salsa,"  Rice, Pinto Beans, Cheese, Guacamole  ",1
Barbacoa Burrito, Roasted Chili Corn Salsa,"  Rice, Pinto Beans, Cheese, Guacamole, Lettuce  ",1
Barbacoa Burrito, Roasted Chili Corn Salsa,"  Rice, Pinto Beans, Cheese, Lettuce, Guacamole  ",1
Barbacoa Burrito, Roasted Chili Corn Salsa,"  Rice, Pinto Beans, Cheese, Sour Cream  ",1
Barbacoa Burrito, Roasted Chili Corn Salsa,"  Rice, Pinto Beans, Cheese, Sour Cream, Lettuce  ",1
Barbacoa Burrito, Roasted Chili Corn Salsa,"  Rice, Pinto Beans, Sour Cream, Cheese  ",1
Barbacoa Burrito, Roasted Chili Corn Salsa ,Origin,1
Barbacoa Burrito, Roasted Chili Corn Salsa  Medium ,"  Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce  ",2
Barbacoa Burrito, Roasted Chili Corn Salsa  Medium ,"  Black Beans, Rice, Cheese, Sour Cream  ",1
Barbacoa Burrito, Roasted Chili Corn Salsa  Medium ,"  Black Beans, Rice, Fajita Veggies, Cheese, Lettuce  ",1
Barbacoa Burrito, Tomatillo Green Chili Salsa,"  Rice, Black Beans, Cheese, Lettuce  ",2
Barbacoa Burrito, Tomatillo Green Chili Salsa,"  Fajita Vegetables, Pinto Beans, Sour Cream, Cheese, Lettuce  ",1
Barbacoa Burrito, Tomatillo Green Chili Salsa,"  Rice, Black Beans, Sour Cream, Cheese  ",1
Barbacoa Burrito, Tomatillo Green Chili Salsa,"  Rice, Black Beans, Sour Cream, Cheese, Lettuce  ",1
Barbacoa Burrito, Tomatillo Green Chili Salsa,"  Rice, Fajita Vegetables, Pinto Beans, Sour Cream, Cheese  ",1
Barbacoa Burrito, Tomatillo Green Chili Salsa,"  Rice, Pinto Beans, Cheese, Guacamole  ",1
Barbacoa Burrito, Tomatillo Green Chili Salsa ,Origin,2
Barbacoa Burrito, Tomatillo Green Chili Salsa  Medium ,"  Rice, Cheese, Sour Cream, Lettuce  ",4
Barbacoa Burrito, Tomatillo Green Chili Salsa  Medium ,"  Rice, Cheese, Sour Cream  ",1
Barbacoa Burrito, Tomatillo Red Chili Salsa,"  Rice, Cheese, Lettuce  ",9
Barbacoa Burrito, Tomatillo Red Chili Salsa,"  Rice, Black Beans, Cheese, Sour Cream  ",2
Barbacoa Burrito, Tomatillo Red Chili Salsa,"  Rice, Cheese, Sour Cream, Lettuce  ",2
Barbacoa Burrito, Tomatillo Red Chili Salsa,"  Rice, Black Beans, Cheese, Guacamole  ",1
Barbacoa Burrito, Tomatillo Red Chili Salsa,"  Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Barbacoa Burrito, Tomatillo Red Chili Salsa,"  Rice, Cheese  ",1
Barbacoa Burrito, Tomatillo Red Chili Salsa,"  Rice, Cheese, Guacamole  ",1
Barbacoa Burrito, Tomatillo Red Chili Salsa,"  Rice, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Barbacoa Burrito, Tomatillo Red Chili Salsa,"  Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese, Guacamole  ",1
Barbacoa Burrito, Tomatillo Red Chili Salsa,"  Rice, Fajita Vegetables, Pinto Beans, Sour Cream, Cheese  ",1
Barbacoa Burrito, Tomatillo Red Chili Salsa,"  Rice, Fajita Vegetables, Sour Cream, Cheese, Lettuce, Guacamole  ",1
Barbacoa Burrito, Tomatillo Red Chili Salsa,"  Rice, Pinto Beans, Cheese, Sour Cream, Lettuce  ",1
Barbacoa Burrito, Tomatillo Red Chili Salsa,"  Rice, Sour Cream, Cheese, Guacamole  ",1
Barbacoa Burrito, Tomatillo Red Chili Salsa  Hot ,"  Rice, Cheese, Sour Cream, Lettuce  ",2
Barbacoa Burrito, Tomatillo Red Chili Salsa  Hot ,"  Pinto Beans, Rice, Cheese, Sour Cream, Lettuce  ",1
Barbacoa Burrito, Tomatillo Red Chili Salsa  Hot ,"  Rice, Cheese, Lettuce  ",1
Barbacoa Burrito, Tomatillo Red Chili Salsa  Hot ,"  Rice, Cheese, Sour Cream  ",1
Barbacoa Crispy Tacos,  Fresh Tomato Salsa  Mild ," Tomatillo Green Chili Salsa  Medium  ,  Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce  ",1
Barbacoa Crispy Tacos,  Roasted Chili Corn Salsa  Medium ," Tomatillo Red Chili Salsa  Hot  ,  Cheese, Sour Cream, Guacamole  ",1
Barbacoa Crispy Tacos, Fresh Tomato Salsa,"  Rice, Cheese, Sour Cream  ",1
Barbacoa Crispy Tacos, Fresh Tomato Salsa,"  Sour Cream, Cheese, Rice  ",1
Barbacoa Crispy Tacos, Fresh Tomato Salsa,"  Sour Cream, Lettuce  ",1
Barbacoa Crispy Tacos, Fresh Tomato Salsa, Guacamole ,1
Barbacoa Crispy Tacos, Roasted Chili Corn Salsa,"  Fajita Vegetables, Black Beans, Cheese  ",1
Barbacoa Crispy Tacos, Roasted Chili Corn Salsa,"  Rice, Cheese, Lettuce  ",1
Barbacoa Crispy Tacos, Roasted Chili Corn Salsa,"  Rice, Cheese, Lettuce, Guacamole  ",1
Barbacoa Crispy Tacos, Tomatillo Red Chili Salsa,"  Rice, Black Beans, Cheese, Sour Cream, Guacamole  ",1
Barbacoa Crispy Tacos, Tomatillo Red Chili Salsa  Hot ,"  Black Beans, Cheese, Sour Cream, Lettuce  ",1
Barbacoa Salad Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce  ",1
Barbacoa Salad Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Sour Cream  ",1
Barbacoa Salad Bowl, Fresh Tomato Salsa,"  Rice, Fajita Vegetables, Pinto Beans, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole  ",1
Barbacoa Salad Bowl, Fresh Tomato Salsa,"  Rice, Pinto Beans, Cheese, Lettuce  ",1
Barbacoa Salad Bowl, Fresh Tomato Salsa, Guacamole ,1
Barbacoa Salad Bowl, Roasted Chili Corn Salsa ,Origin,2
Barbacoa Salad Bowl, Tomatillo Green Chili Salsa,"  Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce  ",1
Barbacoa Salad Bowl, Tomatillo Green Chili Salsa,"  Rice, Fajita Vegetables, Pinto Beans, Sour Cream, Cheese, Lettuce, Guacamole  ",1
Barbacoa Salad Bowl, Tomatillo Red Chili Salsa,"  Black Beans, Cheese, Sour Cream, Guacamole  ",1
Barbacoa Soft Tacos,  Fresh Tomato Salsa  Mild ," Roasted Chili Corn Salsa  Medium , Tomatillo Red Chili Salsa  Hot  ,  Pinto Beans, Cheese, Sour Cream, Lettuce  ",1
Barbacoa Soft Tacos, Fresh Tomato Salsa,"  Black Beans, Cheese, Lettuce  ",1
Barbacoa Soft Tacos, Fresh Tomato Salsa,"  Fajita Vegetables, Black Beans, Lettuce  ",1
Barbacoa Soft Tacos, Fresh Tomato Salsa,"  Rice, Black Beans, Pinto Beans, Cheese, Sour Cream  ",1
Barbacoa Soft Tacos, Roasted Chili Corn Salsa,"  Cheese, Sour Cream, Guacamole  ",1
Barbacoa Soft Tacos, Roasted Chili Corn Salsa,"  Fajita Vegetables, Black Beans, Cheese, Sour Cream, Lettuce  ",1
Barbacoa Soft Tacos, Roasted Chili Corn Salsa,"  Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Barbacoa Soft Tacos, Roasted Chili Corn Salsa,"  Rice, Cheese, Sour Cream, Guacamole  ",1
Barbacoa Soft Tacos, Roasted Chili Corn Salsa,"  Rice, Pinto Beans, Cheese, Sour Cream, Guacamole  ",1
Barbacoa Soft Tacos, Tomatillo Green Chili Salsa,"  Pinto Beans, Sour Cream, Guacamole  ",1
Barbacoa Soft Tacos, Tomatillo Green Chili Salsa,"  Sour Cream, Cheese, Lettuce  ",1
Barbacoa Soft Tacos, Tomatillo Red Chili Salsa,"  Rice, Pinto Beans, Cheese, Sour Cream  ",6
Barbacoa Soft Tacos, Tomatillo Red Chili Salsa,"  Rice, Cheese, Sour Cream, Lettuce  ",4
Barbacoa Soft Tacos, Tomatillo Red Chili Salsa,"  Black Beans, Cheese, Sour Cream, Guacamole  ",1
Barbacoa Soft Tacos, Tomatillo Red Chili Salsa,"  Fajita Vegetables, Guacamole, Lettuce  ",1
Barbacoa Soft Tacos, Tomatillo Red Chili Salsa  Hot ,"  Pinto Beans, Cheese, Sour Cream, Lettuce  ",1
Barbacoa Soft Tacos, Tomatillo Red Chili Salsa  Hot ,"  Rice, Cheese, Guacamole  ",1
Bottled Water,Origin,Origin,162
Bowl, Adobo Marinated and Grilled Steak,"  Sour Cream, Salsa, Cheese, Cilantro Lime Rice, Guacamole  ",1
Bowl, Braised Carnitas," Pinto Beans,  Sour Cream, Cheese, Cilantro Lime Rice  ",1
Burrito, Adobo Marinated and Grilled Chicken,"  Sour Cream, Cheese, Cilantro Lime Rice  ",1
Burrito, Adobo Marinated and Grilled Chicken," Pinto Beans,  Sour Cream, Salsa, Cheese, Cilantro Lime Rice, Guacamole  ",1
Burrito, Braised Barbacoa," Pinto Beans,  Sour Cream, Salsa, Cheese, Cilantro Lime Rice, Guacamole  ",1
Burrito, Braised Barbacoa," Vegetarian Black Beans,  Sour Cream, Salsa, Cheese, Cilantro Lime Rice  ",1
Burrito, White Rice," Adobo Marinated and Grilled Steak,  Salsa, Cheese  ",1
Burrito, White Rice," Adobo Marinated and Grilled Steak, Pinto Beans,  Sour Cream, Salsa, Cheese, Cilantro Lime Rice  ",1
Canned Soda, Coca Cola ,Origin,26
Canned Soda, Diet Coke ,Origin,15
Canned Soda, Diet Dr  Pepper ,Origin,13
Canned Soda, Dr  Pepper ,Origin,18
Canned Soda, Mountain Dew ,Origin,15
Canned Soda, Sprite ,Origin,17
Canned Soft Drink, Coke ,Origin,102
Canned Soft Drink, Diet Coke ,Origin,95
Canned Soft Drink, Lemonade ,Origin,31
Canned Soft Drink, Nestea ,Origin,18
Canned Soft Drink, Sprite ,Origin,55
Carnitas Bowl,  Fresh Tomato Salsa  Mild ," Roasted Chili Corn Salsa  Medium  ,  Rice, Cheese, Lettuce  ",1
Carnitas Bowl,  Fresh Tomato Salsa  Mild ," Tomatillo Green Chili Salsa  Medium  ,  Rice, Fajita Veggies, Lettuce  ",1
Carnitas Bowl,  Fresh Tomato Salsa  Mild ," Tomatillo Green Chili Salsa  Medium , Roasted Chili Corn Salsa  Medium  ,  Black Beans, Rice, Cheese  ",1
Carnitas Bowl,  Roasted Chili Corn Salsa  Medium ," Tomatillo Red Chili Salsa  Hot  ,  Black Beans, Rice, Cheese, Lettuce  ",1
Carnitas Bowl,  Roasted Chili Corn Salsa  Medium ," Tomatillo Red Chili Salsa  Hot  ,  Rice, Pinto Beans, Lettuce  ",1
Carnitas Bowl,  Roasted Chili Corn Salsa  Medium ," Tomatillo Red Chili Salsa  Hot , Fresh Tomato Salsa  Mild  ,  Rice, Pinto Beans, Fajita Veggies, Cheese, Sour Cream, Lettuce  ",1
Carnitas Bowl,  Tomatillo Red Chili Salsa  Hot ," Fresh Tomato Salsa  Mild  ,  Pinto Beans, Cheese, Guacamole, Lettuce  ",1
Carnitas Bowl,  Tomatillo Red Chili Salsa  Hot ," Fresh Tomato Salsa  Mild  ,  Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Carnitas Bowl,  Tomatillo Red Chili Salsa  Hot ," Fresh Tomato Salsa  Mild  ,  Rice, Pinto Beans, Cheese, Guacamole  ",1
Carnitas Bowl, Fresh Tomato  Mild ,"  Guacamole, Sour Cream, Cheese  ",2
Carnitas Bowl, Fresh Tomato  Mild ,"  Guacamole, Lettuce, Rice, Sour Cream, Cheese  ",1
Carnitas Bowl, Fresh Tomato Salsa,"  Rice, Fajita Vegetables, Black Beans, Cheese, Lettuce, Guacamole  ",3
Carnitas Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce  ",2
Carnitas Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Guacamole, Lettuce  ",2
Carnitas Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream  ",1
Carnitas Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce  ",1
Carnitas Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Lettuce  ",1
Carnitas Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Carnitas Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Lettuce  ",1
Carnitas Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Pinto Beans, Cheese, Sour Cream, Lettuce  ",1
Carnitas Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Pinto Beans, Lettuce  ",1
Carnitas Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Lettuce  ",1
Carnitas Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Sour Cream  ",1
Carnitas Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Sour Cream, Guacamole  ",1
Carnitas Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Carnitas Bowl, Fresh Tomato Salsa,"  Rice, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Carnitas Bowl, Fresh Tomato Salsa,"  Rice, Fajita Vegetables, Black Beans, Lettuce, Guacamole  ",1
Carnitas Bowl, Fresh Tomato Salsa,"  Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce  ",1
Carnitas Bowl, Fresh Tomato Salsa,"  Rice, Pinto Beans, Cheese, Lettuce  ",1
Carnitas Bowl, Fresh Tomato Salsa,"  Rice, Sour Cream, Guacamole, Lettuce  ",1
Carnitas Bowl, Fresh Tomato Salsa  Mild ,"  Fajita Veggies, Cheese, Sour Cream, Guacamole  ",1
Carnitas Bowl, Fresh Tomato Salsa  Mild ,"  Pinto Beans, Rice, Cheese, Sour Cream, Lettuce  ",1
Carnitas Bowl, Fresh Tomato Salsa  Mild ,"  Rice, Cheese, Sour Cream  ",1
Carnitas Bowl, Roasted Chili Corn Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",2
Carnitas Bowl, Roasted Chili Corn Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese  ",1
Carnitas Bowl, Roasted Chili Corn Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream  ",1
Carnitas Bowl, Roasted Chili Corn Salsa,"  Fajita Vegetables, Rice, Cheese, Sour Cream  ",1
Carnitas Bowl, Roasted Chili Corn Salsa,"  Fajita Vegetables, Rice, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Carnitas Bowl, Roasted Chili Corn Salsa,"  Rice, Black Beans, Cheese, Sour Cream  ",1
Carnitas Bowl, Roasted Chili Corn Salsa,"  Rice, Black Beans, Cheese, Sour Cream, Lettuce  ",1
Carnitas Bowl, Roasted Chili Corn Salsa,"  Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Lettuce  ",1
Carnitas Bowl, Roasted Chili Corn Salsa,"  Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese  ",1
Carnitas Bowl, Roasted Chili Corn Salsa,"  Rice, Pinto Beans, Sour Cream  ",1
Carnitas Bowl, Roasted Chili Corn Salsa,"  Rice, Sour Cream, Cheese, Lettuce, Guacamole  ",1
Carnitas Bowl, Roasted Chili Corn Salsa  Medium ,"  Pinto Beans, Rice, Cheese, Guacamole, Lettuce  ",1
Carnitas Bowl, Roasted Chili Corn Salsa  Medium ,"  Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Carnitas Bowl, Roasted Chili Corn Salsa  Medium ,"  Rice, Cheese, Sour Cream, Lettuce  ",1
Carnitas Bowl, Roasted Chili Corn Salsa  Medium ,"  Rice, Guacamole, Lettuce  ",1
Carnitas Bowl, Tomatillo Green Chili Salsa,"  Rice, Pinto Beans, Cheese, Guacamole, Lettuce  ",2
Carnitas Bowl, Tomatillo Green Chili Salsa,"  Fajita Vegetables, Pinto Beans, Sour Cream, Cheese, Lettuce  ",1
Carnitas Bowl, Tomatillo Green Chili Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Carnitas Bowl, Tomatillo Green Chili Salsa,"  Pinto Beans, Black Beans  ",1
Carnitas Bowl, Tomatillo Green Chili Salsa,"  Rice, Black Beans, Pinto Beans, Cheese, Guacamole  ",1
Carnitas Bowl, Tomatillo Red Chili Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce  ",1
Carnitas Bowl, Tomatillo Red Chili Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce  ",1
Carnitas Bowl, Tomatillo Red Chili Salsa,"  Rice, Black Beans, Cheese, Sour Cream  ",1
